Organisation,Country,maxRating,avgRating,numUsers
Daria Grekova Fan Club,Russia,2643,2643.0,1
University of Waterloo,Canada,2788,2327.5,12
Nanyang Technological University,China,2555,2233.0,6
Tsinghua University High School,China,2555,2229.6,5
NRU HSE Saint Petersburg,Russia,2640,1862.0,8
Hanyang University,South Korea,2553,2052.8888888888887,9
cxy fan club,China,2674,2613.5,2
IIT Delhi,India,2675,1697.2,100
Bryceorz Fanclub,Philippines,2672,2459.0,3
Karlsruhe Institute of Technology,Germany,2584,2192.5,8
Sun Yat-Sen University,China,2537,2133.8333333333335,12
SNS,Italy,2689,2689.0,1
Harbin Institute of Technology,China,2526,2233.8571428571427,7
Arsenal FC,United Kingdom,2521,2521.0,1
koosaga fan club,United States,2656,2656.0,1
The F.M.S in Changsha,China,2518,2147.0833333333335,12
University of Virginia,United States,2517,2315.5,4
FCEN-UBA,Argentina,2549,2372.3333333333335,3
Kaohsiung Senior High School,Taiwan,2512,2246.0,2
ChengDU shishi high school,China,2512,2512.0,1
zimpha fan club,China,2582,2582.0,1
Xiamen Shuangshi Middle School of Fujian,China,2557,2141.285714285714,7
Libertarians of Codeforces,Russia,2849,2486.0,3
Soongsil Univ.,South Korea,2501,1941.0,3
VK,Russia,2653,2585.0,2
East China Normal University,China,2521,2052.4,5
Zhiyuan Star,China,2539,2539.0,1
xiong_6 Fan Club,Finland,2495,2414.5,2
barbarian,Ghana,2495,2495.0,1
Binus University,Indonesia,2493,1991.0,9
No.12345 Floating Island,China,2866,2866.0,1
Northwestern Polytechnical University,China,2497,2338.5,2
haoba army,China,2537,2073.5555555555557,9
Zhengzhou NO.1 High School,China,2491,2491.0,1
University of Chinese Academy of Sciences,China,2488,2402.0,2
FaMAF,Argentina,2522,2036.6,5
Gyeonggi Science High School,South Korea,2634,2119.9285714285716,14
The Affiliated High School of SCNU,China,2526,2379.6,5
Harvard University,United States,2818,2818.0,1
null_awe fan club,United States,2485,2148.0,3
KSP Slovakia,Slovakia,2865,2229.6666666666665,3
AcWing,China,2483,2483.0,1
Kuroni Fun Club,Laos,2614,2604.5,2
Headlands Technologies,Norway,2580,2487.5,2
Hawker Center,Singapore,2565,2476.0,2
SH Huayu Private Middle School,China,2571,2571.0,1
MAI,Russia,2637,1782.75,8
Korea University,South Korea,2525,2092.125,8
Xiao MaoNiang FLS,China,2472,2407.5,2
Le Quy Don High School for Gifted Student,Vietnam,2471,1864.3333333333333,3
Instituto de Matemática Pura e Aplicada,Brazil,2487,2487.0,1
tishreen university,Syria,2520,1808.3333333333333,9
University of Wisconsin-Madison,China,2716,2716.0,1
Sadness Fan Club,China,2469,2427.5,2
Keio University,Japan,2468,2457.0,2
