name,type,value,date
isaf27,Russia,0,2013/11/11
AmazingTalker_Frank,Germany,0,2013/11/11
tute7627,Japan,0,2013/11/11
BigYellowDuck,China,0,2013/11/11
TLEwpdus,South Korea,0,2013/11/11
heno239,Japan,0,2013/11/11
arvindf232,Hong Kong,0,2013/11/11
Chtholly-Nota-Seniorious,Unknown,0,2013/11/11
AlternatingCurrent,Antarctica,0,2013/11/11
YamadaRyo,Japan,0,2013/11/11
antontrygubO_o,Ukraine,0,2013/11/11
PinkieRabbit,China,0,2013/11/11
dXqwq,China,0,2013/11/11
SSRS_,Japan,0,2013/11/11
peti1234,Hungary,0,2013/11/11
qiuzx,Antarctica,0,2013/11/11
tzc_wk,China,0,2013/11/11
ttklwxx,China,0,2013/11/11
StarSilk,Unknown,0,2013/11/11
A.K.E.E.,China,0,2013/11/11
never_giveup,Russia,0,2013/11/11
kotatsugame,Japan,0,2013/11/11
fengqiyuka,China,0,2013/11/11
hank55663,Taiwan,0,2013/11/11
PCTprobability,Japan,0,2013/11/11
Flamire,Unknown,0,2013/11/11
alireza_kaviani,Iran,0,2013/11/11
Forested,Japan,0,2013/11/11
Szoboszlai10,Hungary,0,2013/11/11
Melusine,China,0,2013/11/11
E869120,Japan,0,2013/11/11
crazy_sea,China,0,2013/11/11
Kuroni,Vietnam,0,2013/11/11
-Eternity-,Unknown,0,2013/11/11
The_Noble_Brahman_Bison,China,0,2013/11/11
Kapt,Russia,0,2013/11/11
tourist,Belarus,3209,2013/12/13
Egor,Germany,2675,2013/12/13
Petr,Switzerland,2596,2013/12/13
hos.lyric,Japan,2400,2013/12/13
ecnerwala,United States,2338,2013/12/13
snuke,Japan,2284,2013/12/13
ksun48,Canada,2168,2013/12/13
jqdai0815,Samoa,2117,2013/12/13
Golovanov399,Russia,2113,2013/12/13
Swistakk,Poland,2000,2013/12/13
Um_nik,Ukraine,1913,2013/12/13
yosupo,Japan,1804,2013/12/13
molamola.,South Korea,1716,2013/12/13
jiangly,China,0,2013/12/13
Benq,United States,0,2013/12/13
orzdevinwang,China,0,2013/12/13
cnnfls_csy,China,0,2013/12/13
Radewoosh,Poland,0,2013/12/13
gyh20,China,0,2013/12/13
Rebelz,China,0,2013/12/13
Geothermal,United States,0,2013/12/13
gamegame,Hong Kong,0,2013/12/13
fivedemands,Hong Kong,0,2013/12/13
maroonrk,Japan,0,2013/12/13
ugly2333,China,0,2013/12/13
Ormlis,Russia,0,2013/12/13
maspy,Japan,0,2013/12/13
VivaciousAubergine,China,0,2013/12/13
potato167,Japan,0,2013/12/13
ko_osaga,South Korea,0,2013/12/13
QuietBeautifulThoughts,China,0,2013/12/13
p_b_p_b,China,0,2013/12/13
PubabaOnO,China,0,2013/12/13
MyBotDear,Unknown,0,2013/12/13
Elegia,China,0,2013/12/13
QAQAutoMaton,China,0,2013/12/13
Isonan,China,0,2013/12/13
noimi,Japan,0,2013/12/13
244mhq,Belarus,0,2013/12/13
skip2004,China,0,2013/12/13
A_G,United States,0,2013/12/13
353cerega,Unknown,0,2013/12/13
Qingyu,Unknown,0,2013/12/13
conqueror_of_tourist,United States,0,2013/12/13
FastFreeTask,Unknown,0,2013/12/13
MagicalFlower,China,0,2013/12/13
Kevin114514,China,0,2013/12/13
MagicSpark,Antarctica,0,2013/12/13
HaitangSuki,China,0,2013/12/13
hitonanode,Japan,0,2013/12/13
huzhaoyang,Unknown,0,2013/12/13
duality,Canada,0,2013/12/13
TLE,China,0,2013/12/13
Maksim1744,Russia,0,2013/12/13
aaaaawa,China,0,2013/12/13
sjcsjcsjc,China,0,2013/12/13
turmax,Russia,0,2013/12/13
Kubic,China,0,2013/12/13
cmll02,China,0,2013/12/13
Pub,China,0,2013/12/13
gisp_zjz,China,0,2013/12/13
Alex_Wei,China,0,2013/12/13
dorijanlendvaj,Croatia,0,2013/12/13
Crystally,Unknown,0,2013/12/13
isaf27,Russia,0,2013/12/13
AmazingTalker_Frank,Germany,0,2013/12/13
tute7627,Japan,0,2013/12/13
BigYellowDuck,China,0,2013/12/13
TLEwpdus,South Korea,0,2013/12/13
